conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C3341,3341,Irodavezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3342,3342,Jogi titkárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3343,3343,Igazgatási és ügyvezetési titkárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3344,3344,Orvosírnokok,,
ISCOGroup,http://data.europa.eu/esco/isco/C335,335,Közhivatali ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3351,3351,Vám- és határfelügyeleti ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3352,3352,Adóhatósági ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3353,3353,Szociális ellátásokat kezelő ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3354,3354,Hatósági engedélyezési ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3355,3355,Rendőrfelügyelők és nyomozók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3359,3359,Máshová nem sorolható közhivatali ügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C34,34,"Jogi, szociális, kulturális és hasonló területeken dolgozókat segítő foglalkozások",,
ISCOGroup,http://data.europa.eu/esco/isco/C341,341,"Jogi, szociális és vallási területen dolgozó szakmunkaerő",,
ISCOGroup,http://data.europa.eu/esco/isco/C3411,3411,Jogi és hasonló foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C3412,3412,Szociális foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C3413,3413,Vallási kiegészítő foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C342,342,Sport- és a fitneszfoglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C3421,3421,Sportolók,,
