conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C2310,2310,Egyetemek és egyéb felsőoktatási intézmények oktatói,,
ISCOGroup,http://data.europa.eu/esco/isco/C232,232,Szakoktatók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2320,2320,Szakoktatók,,
ISCOGroup,http://data.europa.eu/esco/isco/C233,233,Középiskolai tanárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2330,2330,Középiskolai tanárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C234,234,Általános iskolai tanárok és óvodapedagógusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2341,2341,Általános iskolai tanárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2342,2342,Óvodapedagógusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C235,235,Egyéb oktatási foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2351,2351,Oktatás-módszertani foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C2352,2352,Gyógypedagógusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2353,2353,Egyéb nyelvtanárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2354,2354,Egyéb zenetanárok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2355,2355,Egyéb művészeti oktatók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2356,2356,Információs technológiák oktatói,,
ISCOGroup,http://data.europa.eu/esco/isco/C2359,2359,Máshová nem sorolható oktatási foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C24,24,Üzleti és igazgatási foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C241,241,Pénzügyi foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2411,2411,Könyvelők és könyvvizsgálók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2412,2412,Pénzügyi és befektetési tanácsadók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2413,2413,Pénzügyi elemzők,,
ISCOGroup,http://data.europa.eu/esco/isco/C242,242,"Igazgatási, szervezési foglalkozások",,
ISCOGroup,http://data.europa.eu/esco/isco/C2421,2421,Vezetési tanácsadók és szervezeti elemzők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2422,2422,"Stratégiai fejlesztők, elemzők",,
ISCOGroup,http://data.europa.eu/esco/isco/C2423,2423,Személyzeti szakemberek és karrier-tanácsadók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2424,2424,Továbbképzési és személyzet-fejlesztési foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C243,243,"Értékesítési, marketing- és PR-foglalkozások",,
ISCOGroup,http://data.europa.eu/esco/isco/C2431,2431,Reklám- és marketingfoglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C2432,2432,PR-foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C2433,2433,Műszaki és gyógyászati termékek/szolgáltatások értékesítői (kivéve az IKT-t),,
ISCOGroup,http://data.europa.eu/esco/isco/C2434,2434,Információs és kommunikációs technológiák értékesítői,,
ISCOGroup,http://data.europa.eu/esco/isco/C25,25,Információs és kommunikációs technológiai foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C251,251,"Szoftver- és alkalmazásfejlesztők, -elemzők",,
ISCOGroup,http://data.europa.eu/esco/isco/C2511,2511,Rendszerelemzők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2512,2512,Szoftverfejlesztők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2513,2513,Web- és multimédia-fejlesztők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2514,2514,Alkalmazásfejlesztők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2519,2519,"Máshová nem sorolható szoftver- és alkalmazásfejlesztők, -elemzők",,
ISCOGroup,http://data.europa.eu/esco/isco/C252,252,Adatbázis- és hálózati foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2521,2521,Adatbázis-tervezők és -rendszergazdák,,
ISCOGroup,http://data.europa.eu/esco/isco/C2522,2522,Rendszergazdák,,
ISCOGroup,http://data.europa.eu/esco/isco/C2523,2523,Számítógép-hálózati foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C2529,2529,Máshová nem sorolható adatbázis- és hálózati foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C26,26,"Jogi, szociális és kulturális foglalkozások",,
ISCOGroup,http://data.europa.eu/esco/isco/C261,261,Jogi foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2611,2611,"Ügyvédek, ügyészek, jogszabály-szövegezők",,
ISCOGroup,http://data.europa.eu/esco/isco/C2612,2612,Bírák,,
ISCOGroup,http://data.europa.eu/esco/isco/C2619,2619,Máshová nem sorolható jogi foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C262,262,"Könyvtárosok, levél- és irattárosok, muzeológusok",,
ISCOGroup,http://data.europa.eu/esco/isco/C2621,2621,"Levél- és irattárosok, muzeológusok",,
ISCOGroup,http://data.europa.eu/esco/isco/C2622,2622,Könyvtárosok és hasonló információs foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C263,263,Társadalomtudományi és vallási foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2631,2631,Közgazdászok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2632,2632,"Szociológusok, antropológusok, és hasonló foglalkozásúak",,
ISCOGroup,http://data.europa.eu/esco/isco/C2633,2633,"Filozófusok, történészek és politológusok",,
ISCOGroup,http://data.europa.eu/esco/isco/C2634,2634,Pszichológusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2635,2635,"Szociális munkások, tanácsadással foglalkozó szakemberek",,
ISCOGroup,http://data.europa.eu/esco/isco/C2636,2636,Vallási foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C264,264,"Írók, újságírók és nyelvészek",,
ISCOGroup,http://data.europa.eu/esco/isco/C2641,2641,Írók és hasonló szerzők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2642,2642,Újságírók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2643,2643,"Fordítók, tolmácsok és egyéb nyelvészek",,
ISCOGroup,http://data.europa.eu/esco/isco/C265,265,Képző- és előadó-művészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2651,2651,Vizuális művészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2652,2652,"Zenészek, énekesek és zeneszerzők",,
ISCOGroup,http://data.europa.eu/esco/isco/C2653,2653,Táncosok és koreográfusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2654,2654,"Film, színház- és hasonló rendezők, producerek",,
ISCOGroup,http://data.europa.eu/esco/isco/C2655,2655,Színművészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2656,2656,"Rádió-, televízió- és egyéb médiabemondók",,
ISCOGroup,http://data.europa.eu/esco/isco/C2659,2659,Máshová nem sorolható képző- és előadó-művészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3,3,Technikusok és hasonló foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C31,31,Természettudományi és műszaki foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C311,311,Fizika- és mérnöktudományok technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3111,3111,Kémia- és fizika tudományok technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3112,3112,Építésztechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3113,3113,Erősáramú villamosipari technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3114,3114,Gyengeáramú villamosipari technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3115,3115,Gépésztechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3116,3116,Vegyésztechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3117,3117,Bányászati és kohászati technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3118,3118,Műszaki rajzolók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3119,3119,Máshová nem sorolható természettudományi és műszaki technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C312,312,"Bányászati, feldolgozóipari és építőipari irányítók",,
ISCOGroup,http://data.europa.eu/esco/isco/C3121,3121,Bányászati irányítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3122,3122,Feldolgozóipari irányítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3123,3123,Építőipari irányítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C313,313,Folyamatirányító rendszerek kezelő technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3131,3131,Erőműkezelők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3132,3132,Égetőüzemi és víztisztító berendezések kezelői,,
ISCOGroup,http://data.europa.eu/esco/isco/C3133,3133,Vegyipari feldolgozó berendezések kezelői,,
ISCOGroup,http://data.europa.eu/esco/isco/C3134,3134,Kőolaj- és földgázfinomító berendezések kezelői,,
ISCOGroup,http://data.europa.eu/esco/isco/C3135,3135,Fémfeldolgozási folyamatirányító rendszerek kezelői,,
ISCOGroup,http://data.europa.eu/esco/isco/C3139,3139,Folyamatirányító rendszerek máshová nem sorolható kezelő technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C314,314,Élettani tudományok technikusai és hasonló foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C3141,3141,Élettani tudományok technikusai (kivéve az orvostudományt),,
ISCOGroup,http://data.europa.eu/esco/isco/C3142,3142,Mezőgazdasági technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3143,3143,Erdésztechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C315,315,Hajózási és légiközlekedési irányítók és technikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3151,3151,Hajógépészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3152,3152,Hajós fedélzeti tisztek és hajóvezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3153,3153,Légijármű-vezetők és hasonló foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C3154,3154,Légiirányítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3155,3155,Légiközlekedés-biztonsági elektrotechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C32,32,Egészségügyi foglalkozások,,
