conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C2355,2355,Sonstige Kunstlehrer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2356,2356,Ausbilder im Bereich Informationstechnologie,,
ISCOGroup,http://data.europa.eu/esco/isco/C2359,2359,"Lehrkräfte, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C24,24,Betriebswirte und vergleichbare akademische Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C241,241,Akademische und vergleichbare Fachkräfte im Bereich Finanzen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2411,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C2412,2412,Finanz- und Anlageberater,,
ISCOGroup,http://data.europa.eu/esco/isco/C2413,2413,Finanzanalysten,,
ISCOGroup,http://data.europa.eu/esco/isco/C242,242,Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung,,
ISCOGroup,http://data.europa.eu/esco/isco/C2421,2421,Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse,,
ISCOGroup,http://data.europa.eu/esco/isco/C2422,2422,Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft,,
ISCOGroup,http://data.europa.eu/esco/isco/C2423,2423,Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute,,
ISCOGroup,http://data.europa.eu/esco/isco/C2424,2424,Fachkräfte in Personalschulung und -entwicklung,,
ISCOGroup,http://data.europa.eu/esco/isco/C243,243,"Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit",,
ISCOGroup,http://data.europa.eu/esco/isco/C2431,2431,Akademische und vergleichbare Fachkräfte in Werbung und Marketing,,
ISCOGroup,http://data.europa.eu/esco/isco/C2432,2432,Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit,,
ISCOGroup,http://data.europa.eu/esco/isco/C2433,2433,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",,
ISCOGroup,http://data.europa.eu/esco/isco/C2434,2434,Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie,,
ISCOGroup,http://data.europa.eu/esco/isco/C25,25,Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie,,
ISCOGroup,http://data.europa.eu/esco/isco/C251,251,Entwickler und Analytiker von Software und Anwendungen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2511,2511,Systemanalytiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2512,2512,Softwareentwickler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2513,2513,Web- und Multimediaentwickler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2514,2514,Anwendungsprogrammierer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2519,2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C252,252,Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke,,
ISCOGroup,http://data.europa.eu/esco/isco/C2521,2521,Datenbankentwickler und -administratoren,,
ISCOGroup,http://data.europa.eu/esco/isco/C2522,2522,Systemadministratoren,,
ISCOGroup,http://data.europa.eu/esco/isco/C2523,2523,Akademische und vergleichbare Fachkräfte für Computernetzwerke,,
ISCOGroup,http://data.europa.eu/esco/isco/C2529,2529,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C26,26,"Juristen, Sozialwissenschaftler und Kulturberufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C261,261,Juristen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2611,2611,Anwälte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2612,2612,Richter,,
ISCOGroup,http://data.europa.eu/esco/isco/C2619,2619,"Juristen, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C262,262,"Archiv-, Bibliotheks- und Museumswissenschaftler",,
ISCOGroup,http://data.europa.eu/esco/isco/C2621,2621,Archiv- und Museumswissenschaftler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2622,2622,Bibliothekswissenschaftler und verwandte Informationswissenschaftler,,
ISCOGroup,http://data.europa.eu/esco/isco/C263,263,"Sozialwissenschaftler, Geistliche und Seelsorger",,
ISCOGroup,http://data.europa.eu/esco/isco/C2631,2631,Volkswirtschaftler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2632,2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",,
ISCOGroup,http://data.europa.eu/esco/isco/C2633,2633,"Philosophen, Historiker und Politologen",,
ISCOGroup,http://data.europa.eu/esco/isco/C2634,2634,Psychologen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2635,2635,Sozialarbeiter,,
ISCOGroup,http://data.europa.eu/esco/isco/C2636,2636,Geistliche Seelsorger,,
ISCOGroup,http://data.europa.eu/esco/isco/C264,264,"Autoren, Journalisten und Linguisten",,
ISCOGroup,http://data.europa.eu/esco/isco/C2641,2641,Autoren und verwandte schriftstellerische Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C2642,2642,Journalisten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2643,2643,"Übersetzer, Dolmetscher und andere Linguisten",,
ISCOGroup,http://data.europa.eu/esco/isco/C265,265,Bildende und darstellende Künstler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2651,2651,Bildende Künstler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2652,2652,"Musiker, Sänger und Komponisten",,
ISCOGroup,http://data.europa.eu/esco/isco/C2653,2653,Tänzer und Choreografen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2654,2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2655,2655,Schauspieler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2656,2656,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",,
ISCOGroup,http://data.europa.eu/esco/isco/C2659,2659,"Bildende und darstellende Künstler, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C3,3,Techniker und gleichrangige nichttechnische Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C31,31,Ingenieurtechnische und vergleichbare Fachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C311,311,Material- und ingenieurtechnische Fachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C3111,3111,Chemo- und Physikotechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3112,3112,Bautechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3113,3113,Elektrotechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3114,3114,Techniker im Bereich Elektronik,,
ISCOGroup,http://data.europa.eu/esco/isco/C3115,3115,Maschinenbautechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3116,3116,Chemiebetriebs- und Verfahrenstechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3117,3117,Bergbau- und Hüttentechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3118,3118,Technische Zeichner,,
ISCOGroup,http://data.europa.eu/esco/isco/C3119,3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C312,312,"Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau",,
ISCOGroup,http://data.europa.eu/esco/isco/C3121,3121,Produktionsleiter im Bergbau,,
ISCOGroup,http://data.europa.eu/esco/isco/C3122,3122,Produktionsleiter bei der Herstellung von Waren,,
ISCOGroup,http://data.europa.eu/esco/isco/C3123,3123,Bauleiter,,
ISCOGroup,http://data.europa.eu/esco/isco/C313,313,Techniker in der Prozesssteuerung,,
ISCOGroup,http://data.europa.eu/esco/isco/C3131,3131,Steuerer von Energieerzeugungsanlagen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3132,3132,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3133,3133,Steuerer von chemischen Verfahrensanlagen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3134,3134,Steuerer von Erdöl- und Erdgasraffinationsanlagen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3135,3135,Steuerer von Verfahren in der Metallerzeugung,,
ISCOGroup,http://data.europa.eu/esco/isco/C3139,3139,"Techniker in der Prozesssteuerung, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C314,314,Biotechniker und verwandte technische Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C3141,3141,Biotechniker (ohne medizinische Fachberufe),,
ISCOGroup,http://data.europa.eu/esco/isco/C3142,3142,Agrartechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3143,3143,Forsttechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C315,315,"Schiffsführer, Flugzeugführer und verwandte Berufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C3151,3151,Technische Schiffsoffiziere,,
ISCOGroup,http://data.europa.eu/esco/isco/C3152,3152,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",,
ISCOGroup,http://data.europa.eu/esco/isco/C3153,3153,Flugzeugführer und verwandte Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C3154,3154,Flugverkehrslotsen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3155,3155,Flugsicherungstechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C32,32,Assistenzberufe im Gesundheitswesen,,
ISCOGroup,http://data.europa.eu/esco/isco/C321,321,Medizinische und pharmazeutische Fachberufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C3211,3211,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,,
ISCOGroup,http://data.europa.eu/esco/isco/C3212,3212,Medizintechniker im Bereich Labor und Pathologie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3213,3213,Pharmazeutisch-technische Assistenten,,
ISCOGroup,http://data.europa.eu/esco/isco/C3214,3214,Medizinische und zahnmedizinische Prothetiktechniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C322,322,Nicht akademische Krankenpflege- und Geburtshilfefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C3221,3221,Nicht akademische Krankenpflegefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C3222,3222,Nicht akademische Geburtshilfefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C323,323,Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin,,
ISCOGroup,http://data.europa.eu/esco/isco/C3230,3230,Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin,,
ISCOGroup,http://data.europa.eu/esco/isco/C324,324,Veterinärmedizinische Fachkräfte und Assistenten,,
ISCOGroup,http://data.europa.eu/esco/isco/C3240,3240,Veterinärmedizinische Fachkräfte und Assistenten,,
ISCOGroup,http://data.europa.eu/esco/isco/C325,325,Sonstige Assistenzberufe im Gesundheitswesen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3251,3251,Zahnmedizinische Assistenten und Dentalhygieniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3252,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,,
ISCOGroup,http://data.europa.eu/esco/isco/C3253,3253,Fachkräfte in der öffentlichen Gesundheitsfürsorge,,
ISCOGroup,http://data.europa.eu/esco/isco/C3254,3254,Augenoptiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3255,3255,Physiotherapeutische Techniker und Assistenten,,
ISCOGroup,http://data.europa.eu/esco/isco/C3256,3256,Medizinische Assistenten,,
ISCOGroup,http://data.europa.eu/esco/isco/C3257,3257,Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C3258,3258,Rettungsdienstpersonal,,
ISCOGroup,http://data.europa.eu/esco/isco/C3259,3259,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C33,33,Nicht akademische betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C331,331,Nicht akademische Fachkräfte im Bereich Finanzen und mathematische Verfahren,,
ISCOGroup,http://data.europa.eu/esco/isco/C3311,3311,"Wertpapierhändler, -makler und Finanzmakler",,
ISCOGroup,http://data.europa.eu/esco/isco/C3312,3312,Kreditsachbearbeiter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3313,3313,Nicht akademische Fachkräfte im Rechnungswesen,,
ISCOGroup,http://data.europa.eu/esco/isco/C3314,3314,"Nicht akademische statistische, mathematische und verwandte Fachkräfte",,
ISCOGroup,http://data.europa.eu/esco/isco/C3315,3315,Schätzer und Schadensgutachter,,
ISCOGroup,http://data.europa.eu/esco/isco/C332,332,"Vertriebsagenten, Einkäufer und Handelsmakler",,
ISCOGroup,http://data.europa.eu/esco/isco/C3321,3321,Versicherungsvertreter,,
