conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C2511,2511,Systemutvecklare och analytiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2512,2512,Mjukvaruutvecklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2513,2513,Webb- och multimedieutvecklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2514,2514,Applikationsprogrammerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2519,2519,Övriga system- och mjukvaruutvecklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C252,252,Databas- och nätverksadministratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2521,2521,Databasutvecklare och administratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2522,2522,Systemadministratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2523,2523,Nätverksadministratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2529,2529,Övriga databas- och nätverksadministratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C26,26,Annat arbete som kräver teoretisk specialistkompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C261,261,Jurister,,
ISCOGroup,http://data.europa.eu/esco/isco/C2611,2611,Advokater och åklagare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2612,2612,Domare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2619,2619,Övriga jurister,,
ISCOGroup,http://data.europa.eu/esco/isco/C262,262,"Bibliotekarier, arkivarier och museitjänstemän",,
ISCOGroup,http://data.europa.eu/esco/isco/C2621,2621,Arkivarier och museitjänstemän,,
ISCOGroup,http://data.europa.eu/esco/isco/C2622,2622,Bibliotekarier m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C263,263,"Samhällsvetare, psykologer och präster",,
ISCOGroup,http://data.europa.eu/esco/isco/C2631,2631,Nationalekonomer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2632,2632,"Sociologer, antropologer m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2633,2633,"Filosofer, historiker och statsvetare",,
ISCOGroup,http://data.europa.eu/esco/isco/C2634,2634,Psykologer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2635,2635,Socialsekreterare och kuratorer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2636,2636,Präster,,
ISCOGroup,http://data.europa.eu/esco/isco/C264,264,"Författare, journalister och språkvetare",,
ISCOGroup,http://data.europa.eu/esco/isco/C2641,2641,Författare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2642,2642,Journalister,,
ISCOGroup,http://data.europa.eu/esco/isco/C2643,2643,"Översättare, tolkar och andra språkvetare",,
ISCOGroup,http://data.europa.eu/esco/isco/C265,265,"Konstnärer, skådespelare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2651,2651,Konstnärer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2652,2652,"Musiker, sångare och kompositörer",,
ISCOGroup,http://data.europa.eu/esco/isco/C2653,2653,Koreografer och dansare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2654,2654,"Regissörer och producenter av film, teater m.m.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2655,2655,Skådespelare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2656,2656,"Presentatörer inom radio, tv och andra media",,
ISCOGroup,http://data.europa.eu/esco/isco/C2659,2659,"Övriga konstnärer, skådespelare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3,3,Arbete som kräver kortare högskoleutbildning eller motsvarande kunskaper,,
ISCOGroup,http://data.europa.eu/esco/isco/C31,31,Tekniker- och ingenjörsarbete m.m. som kräver kortare högskoleutbildning,,
ISCOGroup,http://data.europa.eu/esco/isco/C311,311,Ingenjörer och tekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3111,3111,Laboratorieingenjörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3112,3112,Byggnadsingenjörer och byggnadstekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3113,3113,Elingenjörer och eltekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3114,3114,"Ingenjörer och tekniker, elektronik",,
ISCOGroup,http://data.europa.eu/esco/isco/C3115,3115,Maskiningenjörer och maskintekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3116,3116,Kemiingenjörer och kemitekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3117,3117,"Ingenjörer och tekniker, gruvteknik och metallurgi",,
ISCOGroup,http://data.europa.eu/esco/isco/C3118,3118,Kartingenjörer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3119,3119,Övriga ingenjörer och tekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C312,312,"Arbetsledare inom gruvdrift, tillverkning och byggverksamhet",,
ISCOGroup,http://data.europa.eu/esco/isco/C3121,3121,Arbetsledare inom gruvdrift,,
ISCOGroup,http://data.europa.eu/esco/isco/C3122,3122,Arbetsledare inom tillverkning,,
ISCOGroup,http://data.europa.eu/esco/isco/C3123,3123,Arbetsledare inom bygg och anläggning,,
ISCOGroup,http://data.europa.eu/esco/isco/C313,313,Processövervakare och drifttekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C3131,3131,"Drifttekniker, värmekraftverk m.m.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3132,3132,"Drifttekniker, förbränningsstationer, vatten- och reningsverk",,
ISCOGroup,http://data.europa.eu/esco/isco/C3133,3133,"Processövervakare, kemisk industri",,
ISCOGroup,http://data.europa.eu/esco/isco/C3134,3134,"Processövervakare, raffinering av petroleum och naturgas",,
ISCOGroup,http://data.europa.eu/esco/isco/C3135,3135,"Processövervakare, metallproduktion",,
ISCOGroup,http://data.europa.eu/esco/isco/C3139,3139,Övriga processövervakare och drifttekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C314,314,"Lantmästare, skogskonsulenter m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3141,3141,Biologtekniker m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3142,3142,Lantmästare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3143,3143,Skogskonsulenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C315,315,"Piloter, fartygsbefäl m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3151,3151,Maskinbefäl,,
ISCOGroup,http://data.europa.eu/esco/isco/C3152,3152,Fartygsbefäl m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3153,3153,Piloter m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3154,3154,Flygledare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3155,3155,Flygtekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C32,32,Arbete inom hälso- och sjukvård som kräver kortare högskoleutbildning,,
ISCOGroup,http://data.europa.eu/esco/isco/C321,321,Medicintekniker och receptarier,,
ISCOGroup,http://data.europa.eu/esco/isco/C3211,3211,"Tekniker, bilddiagnostik och medicinteknisk utrustning",,
ISCOGroup,http://data.europa.eu/esco/isco/C3212,3212,Biomedicinska analytiker m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3213,3213,Receptarier,,
ISCOGroup,http://data.europa.eu/esco/isco/C3214,3214,Protestekniker och tandtekniker,,
ISCOGroup,http://data.europa.eu/esco/isco/C322,322,"Sjuksköterskor, barnmorskor",,
ISCOGroup,http://data.europa.eu/esco/isco/C3221,3221,Sjuksköterskor,,
ISCOGroup,http://data.europa.eu/esco/isco/C3222,3222,Barnmorskor,,
ISCOGroup,http://data.europa.eu/esco/isco/C323,323,Utövare av komplementär och alternativ medicin,,
ISCOGroup,http://data.europa.eu/esco/isco/C3230,3230,Utövare av komplementär och alternativ medicin,,
ISCOGroup,http://data.europa.eu/esco/isco/C324,324,Djursjukvårdare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3240,3240,Djursjukvårdare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C325,325,"Tandsköterskor, optikerassistenter m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3251,3251,Tandhygienister och tandsköterskor,,
ISCOGroup,http://data.europa.eu/esco/isco/C3252,3252,Patientadministratörer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3253,3253,Hälsoinformatörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3254,3254,Optikerassistenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3255,3255,Sjukgymnastassistenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3256,3256,Sjukvårdsassistenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3257,3257,Miljö- och hälsoskyddsinspektörer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3258,3258,Ambulanssjukvårdare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3259,3259,"Övriga tandsköterskor, optikerassistenter m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C33,33,Arbete som kräver kortare högskoleutbildning inom företagsekonomi och administration,,
ISCOGroup,http://data.europa.eu/esco/isco/C331,331,"Redovisningsekonomer, banktjänstemän m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3311,3311,Värdepappersmäklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3312,3312,Banktjänstemän,,
ISCOGroup,http://data.europa.eu/esco/isco/C3313,3313,Redovisningsekonomer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3314,3314,Statistikassistenter m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3315,3315,Värderare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C332,332,"Företagssäljare, inköpare och agenter",,
ISCOGroup,http://data.europa.eu/esco/isco/C3321,3321,Försäkringsrepresentanter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3322,3322,Företagssäljare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3323,3323,Inköpare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3324,3324,Agenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C333,333,Förmedlare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3331,3331,Speditörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3332,3332,Konferens- och evenemangsplanerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3333,3333,Platsförmedlare och arbetsvägledare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3334,3334,"Fastighetsmäklare, fastighetsförvaltare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3339,3339,Övriga förmedlare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C334,334,Administrativa assistenter m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3341,3341,Arbetsledare för kontorspersonal,,
ISCOGroup,http://data.europa.eu/esco/isco/C3342,3342,Juristsekreterare,,
ISCOGroup,http://data.europa.eu/esco/isco/C3343,3343,Administrativa assistenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C3344,3344,Läkarsekreterare,,
ISCOGroup,http://data.europa.eu/esco/isco/C335,335,"Tull-, taxerings- och socialförsäkringstjänstemän m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3351,3351,Tulltjänstemän,,
ISCOGroup,http://data.europa.eu/esco/isco/C3352,3352,Taxeringstjänstemän,,
ISCOGroup,http://data.europa.eu/esco/isco/C3353,3353,Socialförsäkringstjänstemän,,
ISCOGroup,http://data.europa.eu/esco/isco/C3354,3354,Tillståndsinspektörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3355,3355,Polisinspektörer och kommissarier,,
ISCOGroup,http://data.europa.eu/esco/isco/C3359,3359,"Övriga tull-, taxerings- och socialförsäkringstjänstemän m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C34,34,"Arbete som kräver kortare högskoleutbildning inom juridik, kultur och det sociala området",,
ISCOGroup,http://data.europa.eu/esco/isco/C341,341,"Boutredare, behandlingsassistenter m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3411,3411,"Boutredare, domstolssekreterare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3412,3412,Behandlingsassistenter och socialpedagoger,,
ISCOGroup,http://data.europa.eu/esco/isco/C3413,3413,Pastorer,,
ISCOGroup,http://data.europa.eu/esco/isco/C342,342,"Idrottstränare, professionella idrottsutövare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3421,3421,Professionella idrottsutövare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C3422,3422,"Idrottstränare, instruktörer och funktionärer",,
ISCOGroup,http://data.europa.eu/esco/isco/C3423,3423,Motions- och fritidsledare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C343,343,"Fotografer, inredare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C3431,3431,Fotografer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3432,3432,Inredare och dekoratörer,,
ISCOGroup,http://data.europa.eu/esco/isco/C3433,3433,"Galleri-, musei- och bibliotekstekniker",,
ISCOGroup,http://data.europa.eu/esco/isco/C3434,3434,Chefskockar,,
ISCOGroup,http://data.europa.eu/esco/isco/C3435,3435,"Övriga fotografer, inredare m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C35,35,Arbete som kräver kortare högskoleutbildning inom informations- och kommunikationsteknik (IKT),,
ISCOGroup,http://data.europa.eu/esco/isco/C351,351,"IKT-tekniker, drift och användarstöd",,
ISCOGroup,http://data.europa.eu/esco/isco/C3511,3511,"Drifttekniker, IKT",,
ISCOGroup,http://data.europa.eu/esco/isco/C3512,3512,"Datatekniker, service och support",,
