^0^1^2^3
48^Riksgäldens IT-avdelning söker en enhetschef^Riksgälden^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Riksgäldens-IT-avdelning-söker-en-enhetschef-Stockholm-STHM-Sweden-Riksgälden/11/194428550
49^Skarp IT-tekniker till Sharp i Alvik Strand!^Academic Work^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Skarp-IT-tekniker-till-Sharp-i-Alvik-Strand!-Stockholm-STHM-Sweden-Academic-Work/11/195692555
50^IT Säkerhetsansvarig^Telge AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/IT-Säkerhetsansvarig-Stockholm-STHM-Sweden-Telge-AB/11/193955502
51^Account Manager / Säljare - Sverige^Inrego Aktiebolag^Täby, Stockholms län  ^https://jobberbjudande.monster.se/Account-Manager-Säljare-Sverige-Täby-STHM-Sweden-Inrego-Aktiebolag/11/195247856
52^Senior IT Infrastructure Engineer^Dfind IT^No location info^https://jobberbjudande.monster.se/Senior-IT-Infrastructure-Engineer-Härryda-VTG-Sweden-Dfind-IT/11/195053455
53^Affärsutvecklare^Capio^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Affärsutvecklare-Stockholm-STHM-Sweden-Capio/11/195442627
54^IT-ARKITEKT TILL INNOVATIV KUND INOM DAGLIGVARUHANDELN^JobBusters AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/IT-ARKITEKT-TILL-INNOVATIV-KUND-INOM-DAGLIGVARUHANDELN-Stockholm-STHM-Sweden-JobBusters-AB/11/193906637
55^Infrastructure Specialist till finansbolaget Avida!^Perido AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Infrastructure-Specialist-till-finansbolaget-Avida!-Stockholm-STHM-Sweden-Perido-AB/11/192846766
56^System- och Verksamhetsutvecklare sökes!^StudentConsulting^Jönköping, Jönköpings län  ^https://jobberbjudande.monster.se/System-och-Verksamhetsutvecklare-sökes!-Jönköping-JÖNK-Sweden-StudentConsulting/11/195599294
57^Gruppchef IT utveckling till Läkemedelsverket^Dfind IT^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Gruppchef-IT-utveckling-till-Läkemedelsverket-Uppsala-UPP-Sweden-Dfind-IT/11/195320391
58^Automationsingenjör, Fresenius Kabi AB^Addilon AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Automationsingenjör-Fresenius-Kabi-AB-Stockholm-STHM-Sweden-Addilon-AB/11/194033271
59^Är du Cancerfondens nya Systemspecialist inom affärssystem?^Cancerfonden^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Är-du-Cancerfondens-nya-Systemspecialist-inom-affärssystem-Stockholm-STHM-Sweden-Cancerfonden/11/195483690
60^Junior IT tekniker^Stiftelsen Centrum för molekylär medicin^Solna, Stockholms län 17164 ^https://jobberbjudande.monster.se/Junior-IT-tekniker-Solna-STHM-Sweden-Stiftelsen-Centrum-för-molekylär-medicin/11/192470640
61^Vi söker nu två Supporttekniker till Lisebergs IT-avdelning^Liseberg AB^No location info^https://jobberbjudande.monster.se/Vi-söker-nu-två-Supporttekniker-till-Lisebergs-IT-avdelning-Göteborg-VTG-Sweden-Liseberg-AB/11/193900112
67^FMV T&E söker IT-säkerhetssamordnare^Försvarets Materielverk FMV^No location info^https://jobberbjudande.monster.se/FMV-T-E-söker-IT-säkerhetssamordnare-VTG-Sweden-Försvarets-Materielverk-FMV/11/194393038
68^FMV söker IT-Säkerhetsexpert - Certifierare till CSEC^Försvarets Materielverk FMV^Stockholms län^https://jobberbjudande.monster.se/FMV-söker-IT-Säkerhetsexpert-Certifierare-till-CSEC-STHM-Sweden-Försvarets-Materielverk-FMV/11/195242348
69^Personalchef söks till IT-försvarsförbandet^Försvarsmakten^Uppsala län^https://jobberbjudande.monster.se/Personalchef-söks-till-IT-försvarsförbandet-UPP-Sweden-Försvarsmakten/11/195200493
70^Gruppchef för  IT Strategi & Arkitektur   till CIO Office^Skandia AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Gruppchef-för-IT-Strategi-Arkitektur-till-CIO-Office-Stockholm-STHM-Sweden-Skandia-AB/11/194526086
71^FMV T&E söker IT-säkerhetssamordnare^Försvarets Materielverk FMV^No location info^https://jobberbjudande.monster.se/FMV-T-E-söker-IT-säkerhetssamordnare-VTG-Sweden-Försvarets-Materielverk-FMV/11/194427353
72^FMV T&E söker IT-säkerhetssamordnare^Försvarets Materielverk FMV^Uppsala län^https://jobberbjudande.monster.se/FMV-T-E-söker-IT-säkerhetssamordnare-UPP-Sweden-Försvarets-Materielverk-FMV/11/194426912
75^Finsk- och svensktalande IT Service Delivery Coordinator till Atoy^2Complete AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Finsk-och-svensktalande-IT-Service-Delivery-Coordinator-till-Atoy-Stockholm-STHM-Sweden-2Complete-AB/11/194400474
76^FMV T&E i Linköping söker IT-säkerhetssamordnare^Försvarets Materielverk FMV^No location info^https://jobberbjudande.monster.se/FMV-T-E-i-Linköping-söker-IT-säkerhetssamordnare-ÖST-Sweden-Försvarets-Materielverk-FMV/11/194393104
77^Militära underrättelse och säkerhetstjänsten MUST söker SB IT tekniker till NUE^Försvarsmakten^Stockholms län^https://jobberbjudande.monster.se/Militära-underrättelse-och-säkerhetstjänsten-MUST-söker-SB-IT-tekniker-till-NUE-STHM-Sweden-Försvarsmakten/11/195037571
79^Fältsäljare av IT-lösningar till Midland, Sundsvall^Säljpoolen AB^Sundsvall, Västernorrlands län  ^https://jobberbjudande.monster.se/Fältsäljare-av-IT-lösningar-till-Midland-Sundsvall-Sundsvall-VNRL-Sweden-Säljpoolen-AB/11/195663153
81^Specialist IT- & Informationssäkerhet / Affärsutvecklare^ÅF^No location info^https://jobberbjudande.monster.se/Specialist-IT-Informationssäkerhet-Affärsutvecklare-Göteborg-VTG-Sweden-ÅF/11/195203012
222^SYSTEMUTVECKLARE TILL KANBANFLOW!^Academic Work^No location info^https://jobberbjudande.monster.se/SYSTEMUTVECKLARE-TILL-KANBANFLOW!-Göteborg-VTG-Sweden-Academic-Work/11/195685806
223^Systemutvecklare .NET^Authority AB^Stockholm, Stockholms län 11350 ^https://jobberbjudande.monster.se/Systemutvecklare-NET-Stockholm-STHM-Sweden-Authority-AB/11/194818353
224^.Net Developer / C# / Systemutvecklare till ledande produktbolag^JobBusters AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Net-Developer-C-Systemutvecklare-till-ledande-produktbolag-Stockholm-STHM-Sweden-JobBusters-AB/11/195041249
225^Erfaren systemutvecklare sökes till MA-system!^StudentConsulting^Lund, Skåne län  ^https://jobberbjudande.monster.se/Erfaren-systemutvecklare-sökes-till-MA-system!-Lund-SKÅ-Sweden-StudentConsulting/11/195033966
226^Webb- Systemutvecklare till SwedSec^SwedSec Licensiering AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Webb-Systemutvecklare-till-SwedSec-Stockholm-STHM-Sweden-SwedSec-Licensiering-AB/11/194830768
227^Systemutvecklare inom industri och produktion^ÅF^Nynäshamn, Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-inom-industri-och-produktion-Nynäshamn-Stockholm-STHM-Sweden-ÅF/11/195442596
228^Systemutvecklare^Dfind IT^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-Stockholm-STHM-Sweden-Dfind-IT/11/195657312
229^Systemutvecklare inom Java och Webb^Bravura^Gävle, Gävleborgs län  ^https://jobberbjudande.monster.se/Systemutvecklare-inom-Java-och-Webb-Gävle-GVBG-Sweden-Bravura/11/195410350
230^Systemutvecklare^Maxkompetens^Umeå, Västerbottens län  ^https://jobberbjudande.monster.se/Systemutvecklare-Umeå-VTB-Sweden-Maxkompetens/11/194795005
231^Systemutvecklare Frontend^Sopra Steria^No location info^https://jobberbjudande.monster.se/Systemutvecklare-Frontend-VTG-Sweden-Sopra-Steria/11/195410925
232^Erfaren Systemutvecklare till Tieto^Tieto^Umeå, Västerbottens län  ^https://jobberbjudande.monster.se/Erfaren-Systemutvecklare-till-Tieto-Umeå-VTB-Sweden-Tieto/11/194794986
233^Testdriven systemutvecklare till Läkemedelsverket^Dfind IT^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Testdriven-systemutvecklare-till-Läkemedelsverket-Uppsala-UPP-Sweden-Dfind-IT/11/195002472
235^Systemutvecklare Java och Documentum till Läkemedelsverket^Dfind IT^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Systemutvecklare-Java-och-Documentum-till-Läkemedelsverket-Uppsala-UPP-Sweden-Dfind-IT/11/195002482
236^Junior systemutvecklare till Läkemedelsverket^Dfind IT^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Junior-systemutvecklare-till-Läkemedelsverket-Uppsala-UPP-Sweden-Dfind-IT/11/195002492
237^Systemutvecklare med fokus på UX till Läkemedelsverket^Dfind IT^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Systemutvecklare-med-fokus-på-UX-till-Läkemedelsverket-Uppsala-UPP-Sweden-Dfind-IT/11/195002483
238^Nyexaminerad systemingenjör / systemutvecklare^Bravura^No location info^https://jobberbjudande.monster.se/Nyexaminerad-systemingenjör-systemutvecklare-Göteborg-VTG-Sweden-Bravura/11/195612162
239^IT-konsult / Systemutvecklare till framgångsrika Knowit^Bravura^No location info^https://jobberbjudande.monster.se/IT-konsult-Systemutvecklare-till-framgångsrika-Knowit-Linköping-ÖST-Sweden-Bravura/11/195612133
240^Junior Systemutvecklare sökes till Omicron!^StudentConsulting^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Junior-Systemutvecklare-sökes-till-Omicron!-Stockholm-STHM-Sweden-StudentConsulting/11/195599868
241^Systemutvecklare / Utvecklare till framgångsrika Zenon^Bravura^No location info^https://jobberbjudande.monster.se/Systemutvecklare-Utvecklare-till-framgångsrika-Zenon-Linköping-ÖST-Sweden-Bravura/11/194965690
242^Systemutvecklare^Ida Infront^Stockholms län^https://jobberbjudande.monster.se/Systemutvecklare-STHM-Sweden-Ida-Infront/11/194098535
243^Systemutvecklare^Ida Infront^No location info^https://jobberbjudande.monster.se/Systemutvecklare-ÖST-Sweden-Ida-Infront/11/194098475
244^Systemutvecklare till QRTECH, Göteborg^QRTECH AB^No location info^https://jobberbjudande.monster.se/Systemutvecklare-till-QRTECH-Göteborg-Göteborg-VTG-Sweden-QRTECH-AB/11/194064045
245^Erfaren systemutvecklare till Tieto i Umeå^Poolia^Umeå, Västerbottens län  ^https://jobberbjudande.monster.se/Erfaren-systemutvecklare-till-Tieto-i-Umeå-Umeå-VTB-Sweden-Poolia/11/195564173
246^Systemutvecklare till JENSEN education^Dfind IT^Stockholms län, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-till-JENSEN-education-Stockholms-län-STHM-Sweden-Dfind-IT/11/194944348
247^Systemutvecklare^Dfind IT^Västerås, Västmanlands län  ^https://jobberbjudande.monster.se/Systemutvecklare-Västerås-VTM-Sweden-Dfind-IT/11/195137462
248^Systemutvecklare sökes till spännande företag i Jönköping!^StudentConsulting^Jönköping, Jönköpings län  ^https://jobberbjudande.monster.se/Systemutvecklare-sökes-till-spännande-företag-i-Jönköping!-Jönköping-JÖNK-Sweden-StudentConsulting/11/195346669
249^Systemutvecklare till ICA Sverige^Dfind IT^No location info^https://jobberbjudande.monster.se/Systemutvecklare-till-ICA-Sverige-Borås-VTG-Sweden-Dfind-IT/11/194278058
250^Engagerade systemutvecklare^Attentec AB^Stockholm, Stockholms län 11140 ^https://jobberbjudande.monster.se/Engagerade-systemutvecklare-Stockholm-STHM-Sweden-Attentec-AB/11/195529804
251^Engagerade systemutvecklare^Attentec AB^No location info^https://jobberbjudande.monster.se/Engagerade-systemutvecklare-Linköping-ÖST-Sweden-Attentec-AB/11/195529556
252^Systemutvecklare till EasyTelecom i centrala Uppsala^Poolia^Uppsala, Uppsala län  ^https://jobberbjudande.monster.se/Systemutvecklare-till-EasyTelecom-i-centrala-Uppsala-Uppsala-UPP-Sweden-Poolia/11/195515598
253^Systemutvecklare till Dfind IT!^Dfind IT^Malmö, Skåne län  ^https://jobberbjudande.monster.se/Systemutvecklare-till-Dfind-IT!-Malmö-SKÅ-Sweden-Dfind-IT/11/195512596
255^Systemutvecklare^Dfind IT^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-Stockholm-STHM-Sweden-Dfind-IT/11/194489507
257^Erfaren systemutvecklare .Net eller Java^Sopra Steria^Stockholms län^https://jobberbjudande.monster.se/Erfaren-systemutvecklare-Net-eller-Java-STHM-Sweden-Sopra-Steria/11/194901274
258^Process- & systemutvecklare^TOOLS Sverige AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Process-systemutvecklare-Stockholm-STHM-Sweden-TOOLS-Sverige-AB/11/195483140
259^Systemutvecklare inom .NET med fokus testautomatisering^Folksam^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-inom-NET-med-fokus-testautomatisering-Stockholm-STHM-Sweden-Folksam/11/195480006
260^Systemutvecklare med DevOps-ansvar^Decerno^Stockholms län^https://jobberbjudande.monster.se/Systemutvecklare-med-DevOps-ansvar-STHM-Sweden-Decerno/11/195475565
261^Systemutvecklare till Polismyndighetens IT-avdelningen, placering i Norrköping^Polismyndigheten^No location info^https://jobberbjudande.monster.se/Systemutvecklare-till-Polismyndighetens-IT-avdelningen-placering-i-Norrköping-Norrköping-ÖST-Sweden-Polismyndigheten/11/195078026
262^Systemutvecklare till växande PromoSoft^Dfind IT^No location info^https://jobberbjudande.monster.se/Systemutvecklare-till-växande-PromoSoft-Göteborg-VTG-Sweden-Dfind-IT/11/195282348
263^Erfaren systemutvecklare sökes till MA-system!^StudentConsulting^Lund, Skåne län  ^https://jobberbjudande.monster.se/Erfaren-systemutvecklare-sökes-till-MA-system!-Lund-SKÅ-Sweden-StudentConsulting/11/194645470
264^Systemutvecklare inbyggda system^Prevas^Västmanlands län^https://jobberbjudande.monster.se/Systemutvecklare-inbyggda-system-VTM-Sweden-Prevas/11/193981439
265^Systemutvecklare .NET inom Industriell IT^Prevas^Västmanlands län^https://jobberbjudande.monster.se/Systemutvecklare-NET-inom-Industriell-IT-VTM-Sweden-Prevas/11/193981510
267^Systemutvecklare betalningslösningar^Svenska Spel^Stockholms län^https://jobberbjudande.monster.se/Systemutvecklare-betalningslösningar-STHM-Sweden-Svenska-Spel/11/193984586
268^Junior systemutvecklare/design/testning/programmering^Total Resurs^Stockholms län, Stockholms län  ^https://jobberbjudande.monster.se/Junior-systemutvecklare-design-testning-programmering-Stockholms-län-STHM-Sweden-Total-Resurs/11/194209312
269^Junior systemutvecklare / java / C#^Total Resurs^Stockholms län, Stockholms län  ^https://jobberbjudande.monster.se/Junior-systemutvecklare-java-C-Stockholms-län-STHM-Sweden-Total-Resurs/11/194209313
270^Systemutvecklare^Bolero Aktiebolag^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Systemutvecklare-Stockholm-STHM-Sweden-Bolero-Aktiebolag/11/194204817
271^Junior systemutvecklare med front-end intresse^Academic Work^No location info^https://jobberbjudande.monster.se/Junior-systemutvecklare-med-front-end-intresse-Göteborg-VTG-Sweden-Academic-Work/11/195423023
272^Junior systemutvecklare med PHP-fokus till PS Finance Group!^Academic Work^No location info^https://jobberbjudande.monster.se/Junior-systemutvecklare-med-PHP-fokus-till-PS-Finance-Group!-Göteborg-VTG-Sweden-Academic-Work/11/195412407
273^Systemutvecklare till expanderande Evado^Academic Work^Luleå, Norrbottens län  ^https://jobberbjudande.monster.se/Systemutvecklare-till-expanderande-Evado-Luleå-NOR-Sweden-Academic-Work/11/195366673
274^Systemutvecklare till Sweco i Jönköping^Academic Work^Jönköping, Jönköpings län  ^https://jobberbjudande.monster.se/Systemutvecklare-till-Sweco-i-Jönköping-Jönköping-JÖNK-Sweden-Academic-Work/11/195310034
275^JUNIOR SYSTEMUTVECKLARE MED KUNSKAP INOM .NET TILL CHESSIT^Academic Work^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/JUNIOR-SYSTEMUTVECKLARE-MED-KUNSKAP-INOM-NET-TILL-CHESSIT-Stockholm-STHM-Sweden-Academic-Work/11/195286995
276^SYSTEMUTVECKLARE TILL INNOVATIVA SOFTCODE I KARLSTAD^Academic Work^Karlstad, Värmlands län  ^https://jobberbjudande.monster.se/SYSTEMUTVECKLARE-TILL-INNOVATIVA-SOFTCODE-I-KARLSTAD-Karlstad-VÄR-Sweden-Academic-Work/11/195258726
277^Junior Systemutvecklare till Telia^Academic Work^No location info^https://jobberbjudande.monster.se/Junior-Systemutvecklare-till-Telia-Göteborg-VTG-Sweden-Academic-Work/11/195199218
